id,name,value,units_of_measurement,timestamp
4004,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18233,Kilobytes,2017-04-22 15:15:22.055 GMT+01:00
4027,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18231,Kilobytes,2017-04-22 15:16:22.085 GMT+01:00
4049,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18265,Kilobytes,2017-04-22 15:17:22.094 GMT+01:00
4071,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18298,Kilobytes,2017-04-22 15:18:22.170 GMT+01:00
4093,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18317,Kilobytes,2017-04-22 15:19:22.149 GMT+01:00
4115,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18429,Kilobytes,2017-04-22 15:20:22.176 GMT+01:00
4138,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18397,Kilobytes,2017-04-22 15:21:55.857 GMT+01:00
4160,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18352,Kilobytes,2017-04-22 15:22:55.862 GMT+01:00
4182,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18288,Kilobytes,2017-04-22 15:23:55.877 GMT+01:00
4204,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18356,Kilobytes,2017-04-22 15:24:55.906 GMT+01:00
4226,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18368,Kilobytes,2017-04-22 15:25:55.932 GMT+01:00
4249,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18324,Kilobytes,2017-04-22 15:26:55.950 GMT+01:00
4265,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18761,Kilobytes,2017-04-22 15:27:49.904 GMT+01:00
4281,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18810,Kilobytes,2017-04-22 15:28:49.923 GMT+01:00
4297,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18797,Kilobytes,2017-04-22 15:29:49.944 GMT+01:00
4313,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18913,Kilobytes,2017-04-22 15:30:49.958 GMT+01:00
4329,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18857,Kilobytes,2017-04-22 15:31:49.982 GMT+01:00
4345,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18985,Kilobytes,2017-04-22 15:32:49.997 GMT+01:00
4362,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18833,Kilobytes,2017-04-22 15:33:50.027 GMT+01:00
4378,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18849,Kilobytes,2017-04-22 15:34:50.060 GMT+01:00
4394,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18841,Kilobytes,2017-04-22 15:35:50.072 GMT+01:00
4411,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18885,Kilobytes,2017-04-22 15:36:50.098 GMT+01:00
4427,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18877,Kilobytes,2017-04-22 15:37:50.111 GMT+01:00
4443,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18945,Kilobytes,2017-04-22 15:38:50.140 GMT+01:00
4459,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18921,Kilobytes,2017-04-22 15:39:50.152 GMT+01:00
4475,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18857,Kilobytes,2017-04-22 15:40:50.175 GMT+01:00
4492,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18913,Kilobytes,2017-04-22 15:41:50.203 GMT+01:00
4508,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18897,Kilobytes,2017-04-22 15:42:50.218 GMT+01:00
4524,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18969,Kilobytes,2017-04-22 15:43:50.237 GMT+01:00
4540,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19001,Kilobytes,2017-04-22 15:44:50.252 GMT+01:00
4556,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18961,Kilobytes,2017-04-22 15:45:50.265 GMT+01:00
4573,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19021,Kilobytes,2017-04-22 15:46:50.294 GMT+01:00
4589,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,18993,Kilobytes,2017-04-22 15:47:50.326 GMT+01:00
4605,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19065,Kilobytes,2017-04-22 15:48:50.341 GMT+01:00
4621,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19047,Kilobytes,2017-04-22 15:49:50.360 GMT+01:00
4637,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19059,Kilobytes,2017-04-22 15:50:50.388 GMT+01:00
4654,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19095,Kilobytes,2017-04-22 15:51:50.397 GMT+01:00
4670,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19211,Kilobytes,2017-04-22 15:52:50.432 GMT+01:00
4686,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19103,Kilobytes,2017-04-22 15:53:50.452 GMT+01:00
4702,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19203,Kilobytes,2017-04-22 15:54:50.456 GMT+01:00
4718,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19167,Kilobytes,2017-04-22 15:55:50.483 GMT+01:00
4735,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19199,Kilobytes,2017-04-22 15:56:50.527 GMT+01:00
4751,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19131,Kilobytes,2017-04-22 15:57:50.537 GMT+01:00
4767,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19227,Kilobytes,2017-04-22 15:58:50.557 GMT+01:00
4783,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,19224,Kilobytes,2017-04-22 15:59:50.586 GMT+01:00
4802,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18288,Kilobytes,2017-04-22 16:01:52.967 GMT+01:00
4819,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18481,Kilobytes,2017-04-22 16:02:51.933 GMT+01:00
4836,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18542,Kilobytes,2017-04-22 16:03:51.943 GMT+01:00
4853,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18571,Kilobytes,2017-04-22 16:04:51.963 GMT+01:00
4870,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18620,Kilobytes,2017-04-22 16:05:51.993 GMT+01:00
4888,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18625,Kilobytes,2017-04-22 16:06:52.015 GMT+01:00
4905,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18633,Kilobytes,2017-04-22 16:07:52.043 GMT+01:00
4922,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18679,Kilobytes,2017-04-22 16:08:52.051 GMT+01:00
4939,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18687,Kilobytes,2017-04-22 16:09:52.084 GMT+01:00
4956,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18611,Kilobytes,2017-04-22 16:10:52.088 GMT+01:00
4973,RAM Usage - pid 16923 - pt.uc.student.aclima.device_agent,18611,Kilobytes,2017-04-22 16:11:52.127 GMT+01:00
4992,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18365,Kilobytes,2017-04-22 16:13:52.531 GMT+01:00
5009,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18436,Kilobytes,2017-04-22 16:14:52.505 GMT+01:00
5026,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18528,Kilobytes,2017-04-22 16:15:52.522 GMT+01:00
5044,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18592,Kilobytes,2017-04-22 16:16:52.538 GMT+01:00
5061,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18618,Kilobytes,2017-04-22 16:17:52.563 GMT+01:00
5078,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18570,Kilobytes,2017-04-22 16:18:52.562 GMT+01:00
5095,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18578,Kilobytes,2017-04-22 16:19:52.606 GMT+01:00
5112,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18601,Kilobytes,2017-04-22 16:20:52.615 GMT+01:00
5130,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18629,Kilobytes,2017-04-22 16:21:52.658 GMT+01:00
5147,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18664,Kilobytes,2017-04-22 16:22:52.659 GMT+01:00
5164,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18670,Kilobytes,2017-04-22 16:23:52.702 GMT+01:00
5181,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18710,Kilobytes,2017-04-22 16:24:52.694 GMT+01:00
5198,RAM Usage - pid 26525 - pt.uc.student.aclima.device_agent,18686,Kilobytes,2017-04-22 16:25:52.719 GMT+01:00
