id,name,value,units_of_measurement,timestamp
22,RAM Usage - pid 2874 - pt.uc.student.aclima.device_agent,17877,Kilobytes,2017-04-15 16:31:45.975 GMT+01:00
45,RAM Usage - pid 2874 - pt.uc.student.aclima.device_agent,17951,Kilobytes,2017-04-15 16:32:44.969 GMT+01:00
67,RAM Usage - pid 2874 - pt.uc.student.aclima.device_agent,18021,Kilobytes,2017-04-15 16:33:45.001 GMT+01:00
89,RAM Usage - pid 2874 - pt.uc.student.aclima.device_agent,18100,Kilobytes,2017-04-15 16:34:45.040 GMT+01:00
113,RAM Usage - pid 4741 - pt.uc.student.aclima.device_agent,17791,Kilobytes,2017-04-15 16:40:51.118 GMT+01:00
135,RAM Usage - pid 4741 - pt.uc.student.aclima.device_agent,17844,Kilobytes,2017-04-15 16:41:50.856 GMT+01:00
157,RAM Usage - pid 4741 - pt.uc.student.aclima.device_agent,17981,Kilobytes,2017-04-15 16:42:50.907 GMT+01:00
179,RAM Usage - pid 4741 - pt.uc.student.aclima.device_agent,18087,Kilobytes,2017-04-15 16:43:50.935 GMT+01:00
201,RAM Usage - pid 4741 - pt.uc.student.aclima.device_agent,18139,Kilobytes,2017-04-15 16:44:50.938 GMT+01:00
220,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18104,Kilobytes,2017-04-15 20:38:17.788 GMT+01:00
236,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18221,Kilobytes,2017-04-15 20:39:16.717 GMT+01:00
252,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18389,Kilobytes,2017-04-15 20:40:16.737 GMT+01:00
268,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18407,Kilobytes,2017-04-15 20:41:16.766 GMT+01:00
284,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18383,Kilobytes,2017-04-15 20:42:16.787 GMT+01:00
301,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18392,Kilobytes,2017-04-15 20:43:16.819 GMT+01:00
317,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18556,Kilobytes,2017-04-15 20:44:16.830 GMT+01:00
333,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18562,Kilobytes,2017-04-15 20:45:16.861 GMT+01:00
349,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18566,Kilobytes,2017-04-15 20:46:16.862 GMT+01:00
365,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18574,Kilobytes,2017-04-15 20:47:16.889 GMT+01:00
381,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18511,Kilobytes,2017-04-15 20:48:16.891 GMT+01:00
398,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18517,Kilobytes,2017-04-15 20:49:16.932 GMT+01:00
414,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18507,Kilobytes,2017-04-15 20:50:16.951 GMT+01:00
430,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18585,Kilobytes,2017-04-15 20:51:16.976 GMT+01:00
446,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18617,Kilobytes,2017-04-15 20:52:17.010 GMT+01:00
463,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18654,Kilobytes,2017-04-15 20:53:17.010 GMT+01:00
479,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18659,Kilobytes,2017-04-15 20:54:17.039 GMT+01:00
495,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18741,Kilobytes,2017-04-15 20:55:17.052 GMT+01:00
511,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18738,Kilobytes,2017-04-15 20:56:17.072 GMT+01:00
527,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18714,Kilobytes,2017-04-15 20:57:17.089 GMT+01:00
544,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18738,Kilobytes,2017-04-15 20:58:17.112 GMT+01:00
560,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18842,Kilobytes,2017-04-15 20:59:17.131 GMT+01:00
576,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18842,Kilobytes,2017-04-15 21:00:17.169 GMT+01:00
592,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18892,Kilobytes,2017-04-15 21:01:17.187 GMT+01:00
608,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18768,Kilobytes,2017-04-15 21:02:17.206 GMT+01:00
625,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18768,Kilobytes,2017-04-15 21:03:17.212 GMT+01:00
641,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18740,Kilobytes,2017-04-15 21:04:17.250 GMT+01:00
657,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18844,Kilobytes,2017-04-15 21:05:17.263 GMT+01:00
673,RAM Usage - pid 10507 - pt.uc.student.aclima.device_agent,18862,Kilobytes,2017-04-15 21:06:17.276 GMT+01:00
690,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18150,Kilobytes,2017-04-15 21:08:17.624 GMT+01:00
706,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18305,Kilobytes,2017-04-15 21:09:17.622 GMT+01:00
722,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18501,Kilobytes,2017-04-15 21:10:17.638 GMT+01:00
738,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18593,Kilobytes,2017-04-15 21:11:17.652 GMT+01:00
754,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18539,Kilobytes,2017-04-15 21:12:17.670 GMT+01:00
771,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18653,Kilobytes,2017-04-15 21:13:17.684 GMT+01:00
787,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18638,Kilobytes,2017-04-15 21:14:17.716 GMT+01:00
803,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18762,Kilobytes,2017-04-15 21:15:17.752 GMT+01:00
819,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18746,Kilobytes,2017-04-15 21:16:17.759 GMT+01:00
835,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18703,Kilobytes,2017-04-15 21:17:17.768 GMT+01:00
851,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18686,Kilobytes,2017-04-15 21:18:17.782 GMT+01:00
868,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18667,Kilobytes,2017-04-15 21:19:17.810 GMT+01:00
884,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18667,Kilobytes,2017-04-15 21:20:17.808 GMT+01:00
900,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18767,Kilobytes,2017-04-15 21:21:17.837 GMT+01:00
916,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18737,Kilobytes,2017-04-15 21:22:17.880 GMT+01:00
933,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18744,Kilobytes,2017-04-15 21:23:17.915 GMT+01:00
949,RAM Usage - pid 3478 - pt.uc.student.aclima.device_agent,18728,Kilobytes,2017-04-15 21:24:17.938 GMT+01:00
