id,name,value,units_of_measurement,timestamp
21,CPU Usage - pid 2874 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
44,CPU Usage - pid 2874 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:32:27.778 GMT+01:00
66,CPU Usage - pid 2874 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:33:27.796 GMT+01:00
88,CPU Usage - pid 2874 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:34:27.834 GMT+01:00
112,CPU Usage - pid 4741 - pt.uc.student.aclima.device_agent,100.0,%,2017-04-15 16:40:33.876 GMT+01:00
134,CPU Usage - pid 4741 - pt.uc.student.aclima.device_agent,100.0,%,2017-04-15 16:41:33.643 GMT+01:00
156,CPU Usage - pid 4741 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:42:33.679 GMT+01:00
178,CPU Usage - pid 4741 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:43:33.707 GMT+01:00
200,CPU Usage - pid 4741 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:44:33.727 GMT+01:00
219,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:38:05.592 GMT+01:00
235,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:39:05.578 GMT+01:00
251,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:40:05.598 GMT+01:00
267,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:41:05.618 GMT+01:00
283,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:42:05.636 GMT+01:00
300,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:43:05.662 GMT+01:00
316,CPU Usage - pid 10507 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 20:44:05.682 GMT+01:00
